BSHspecies	ratio	min	max	phase	comparison	search_method
Weissella koreensis-A0A7H1MMK5	-4.00880550723001	-9.83865	1.57613	light	FAvFT	targetted
Duncaniella dubosii-A0A4P7W0Z6	-4.00770023148	-10.1017	1.09123	light	FAvFT	targetted
Parabacteroides goldsteinii CL02T12C30-K5ZML2	-4.00507748432	-10.3039	1.07651	light	FAvFT	targetted
Bacteroides uniformis-A0A6N2UNG0	-4.00406985395	-10.7146	1.32902	light	FAvFT	targetted
Ruminococcus gnavus-A0A2N5PBH7	-3.99779804478	-9.96733	1.76144	light	FAvFT	targetted
Bacteroides cellulosilyticus CAG:158-R6K8J5	-3.9901290259435	-10.121	1.31361	light	FAvFT	targetted
Bacteroides oleiciplenus-A0A1Q6GT50	-3.987986733251	-10.4668	1.31771	light	FAvFT	targetted
Bacteroides stercorirosoris-A0A1M6KU38	-3.987986733251	-10.4668	1.31771	light	FAvFT	targetted
Anaerocolumna cellulosilytica-A0A6S6RA07	-3.987339454084	-11.2402	2.34684	dark	FAvFT	targetted
Myroides marinus-A0A163WFN3	-3.9844061387035	-9.8	1.35517	light	FAvFT	targetted
Enterococcus faecium EnGen0180-A0A829ETJ4	-3.97946812808501	-10.2611	1.40045	dark	FAvFT	targetted
Faecalibacillus faecis-A0A2T3G497	-3.974458981499	-9.88295	1.17439	dark	FAvFT	targetted
Enterocloster bolteae (strain ATCC BAA-613 / DSM 15670 / CCUG 46953 / JCM 12243 / WAL 16351) (Clostridium bolteae)-A8RLG2	-3.96506857475	-9.71665	1.20559	dark	FAvFT	targetted
Enterocloster bolteae-A0A412Z9I5	-3.96506857475	-9.71665	1.20559	dark	FAvFT	targetted
Enterocloster bolteae-A0A414AWQ7	-3.96506857475	-9.71665	1.20559	dark	FAvFT	targetted
Peptostreptococcus russellii-A0A1H8JZY3	-3.96442183191	-9.96689	1.36899	light	FAvFT	targetted
Blautia hydrogenotrophica CAG:147-R5BV01	-3.963366319861	-10.1717	1.43075	light	FAvFT	targetted
Lactococcus lactis subsp. lactis IO-1-H5T170	-3.9618032663615	-10.2877	1.43285	light	FAvFT	targetted
Listeria monocytogenes-A0A5Y9DN57	-3.960678725385	-10.3771	1.2984	dark	FAvFT	targetted
Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23)-D5ERX0	-3.960080171315	-9.81801	1.10919	light	FAvFT	targetted
Fournierella massiliensis-A0A4R1R7L9	-3.9554208167425	-10.2697	1.35195	light	FAvFT	targetted
Roseburia inulinivorans-A0A396AC75	-3.949883513905	-10.1943	0.993257	dark	FAvFT	targetted
Enterocloster clostridioformis-A0A174DL00	-3.94536294620999	-10.0516	1.2325	dark	FAvFT	targetted
Bacteroides intestinalis CAG:315-R7DP25	-3.93965388310651	-10.3388	1.5227	light	FAvFT	targetted
Enterococcus faecium (strain ATCC BAA-472 / TX0016 / DO)-Q3Y203	-3.93963023574005	-10.3057	1.7922	light	FAvFT	targetted
Dysgonomonas mossii-A0A4Y9ILD4	-3.92923164530201	-10.1411	1.32889	light	FAvFT	targetted
Parabacteroides faecis-A0A7W7ANC1	-3.92567992505	-9.95213	1.58232	light	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A1X4JG45	-3.9209208712	-10.0356	1.66069	dark	FAvFT	targetted
Enterococcus faecium EnGen0192-A0A829F1A8	-3.9209208712	-10.0356	1.66069	dark	FAvFT	targetted
[Bacteroides] pectinophilus ATCC 43243-B7AU47	-3.91544189275501	-10.0535	1.05033	dark	FAvFT	targetted
Prevotella ruminicola (Bacteroides ruminicola)-A0A1M6USS9	-3.91503774802	-10.21	1.27754	dark	FAvFT	targetted
Listeria monocytogenes-A0A7U7YJQ9	-3.914360644145	-10.1512	1.84816	dark	FAvFT	targetted
Hungatella hathewayi-A0A3E4U6N6	-3.91208023589	-10.0349	1.30741	dark	FAvFT	targetted
Enterocloster bolteae-A0A6N2WJG7	-3.91208023589	-10.0349	1.30741	dark	FAvFT	targetted
Enterocloster lavalensis-A0A1I0H2Z2	-3.91208023589	-10.0349	1.30741	dark	FAvFT	targetted
Collinsella tanakaei-A0A3E4QZA8	-3.90934808092299	-10.2476	1.62037	light	FAvFT	targetted
Collinsella tanakaei YIT 12063-G1WLB3	-3.90934808092299	-10.2476	1.62037	light	FAvFT	targetted
[Bacteroides] pectinophilus ATCC 43243-B7AU47	-3.909022970775	-10.1153	1.31635	light	FAvFT	targetted
Alistipes sp. CAG:157-R5W6Y6	-3.90381332093499	-10.5381	1.30197	light	FAvFT	targetted
Blautia hydrogenotrophica (strain DSM 10507 / JCM 14656 / S5a33) (Ruminococcus hydrogenotrophicus)-C0CR88	-3.9019869730485	-10.3351	1.47696	light	FAvFT	targetted
Blautia hydrogenotrophica-A0A173SRH3	-3.9019869730485	-10.3351	1.47696	light	FAvFT	targetted
Faecalitalea cylindroides ATCC 27803-U2QTL3	-3.90117652233	-10.289	1.28379	light	FAvFT	targetted
Faecalitalea cylindroides-A0A1Y4LZA5	-3.90117652233	-10.289	1.28379	light	FAvFT	targetted
Faecalitalea cylindroides T2-87-D4JFU4	-3.90117652233	-10.289	1.28379	light	FAvFT	targetted
Enterococcus cecorum-A0A7X9RL84	-3.899997952265	-9.90601	1.71636	dark	FAvFT	targetted
Bacteroides intestinalis-A0A412XQV6	-3.897358186745	-9.32192	1.61261	light	FAvFT	targetted
Micromonospora tulbaghiae-A0A1C4V181	-3.89586306369	-10.6846	1.29702	light	FAvFT	targetted
Clostridium baratii-A0A174TVW7	-3.895112081295	-10.2164	1.57657	dark	FAvFT	targetted
Lactobacillus amylovorus (strain GRL 1112)-E4SIA7	-3.890429687235	-10.4571	1.78282	light	FAvFT	targetted
Bacteroides cellulosilyticus CL02T12C19-I9QGM8	-3.8877503772	-10.4519	1.25058	light	FAvFT	targetted
Bacteroides intestinalis-A0A139KYW1	-3.8877503772	-10.4519	1.25058	light	FAvFT	targetted
Bacteroides cellulosilyticus-A0A6L3K245	-3.8877503772	-10.4519	1.25058	light	FAvFT	targetted
Rhodococcus pyridinivorans KG-16-A0A0V9UQP6	-3.88378264555	-9.32558	1.92442	light	FAvFT	targetted
Enterococcus hirae-A0A838ZNL6	-3.87732416912	-9.886	1.61562	light	FAvFT	targetted
Enterococcus hirae-A0A7G7IQG0	-3.87732416912	-9.886	1.61562	light	FAvFT	targetted
Intestinimonas butyriciproducens-A0A2U1CCX5	-3.87579244301	-9.68178	1.25162	light	FAvFT	targetted
Ruminococcus sp. CAG:724-R5PVL5	-3.8749272249	-9.53772	1.28958	light	FAvFT	targetted
Bacteroides intestinalis DSM 17393-B3CF59	-3.87384509837001	-9.84091	1.89092	light	FAvFT	targetted
Dysgonomonas mossii DSM 22836-F8WX71	-3.87355344475	-9.5976	1.69389	light	FAvFT	targetted
Roseburia inulinivorans DSM 16841-C0FZJ2	-3.87239156695501	-10.4974	1.40967	dark	FAvFT	targetted
Bacteroides oleiciplenus YIT 12058-K9E4J5	-3.869057665365	-9.90378	1.44676	light	FAvFT	targetted
Bacteroides oleiciplenus-A0A3E5B9A2	-3.869057665365	-9.90378	1.44676	light	FAvFT	targetted
Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)-Q9CEK2	-3.86394806388001	-9.66854	1.3492	light	FAvFT	targetted
Roseburia intestinalis-A0A414T2V7	-3.863799819005	-9.58038	1.76734	dark	FAvFT	targetted
Bacteroides cellulosilyticus-A0A108T443	-3.8601779601011	-9.93693	1.23	light	FAvFT	targetted
Candidatus Weimeria bifida-A0A6N7IZJ4	-3.85664682858999	-10.311	1.67586	dark	FAvFT	targetted
Ruminococcus gnavus-A0A2N5PBH7	-3.852278559615	-9.79774	1.48493	dark	FAvFT	targetted
Roseburia intestinalis-A0A414T2V7	-3.85164139785999	-10.319	1.82601	light	FAvFT	targetted
Enterococcus casseliflavus (Enterococcus flavescens)-A0A7T4GAT4	-3.85059157805	-10.2824	1.29356	light	FAvFT	targetted
Alcaligenes faecalis-A0A5Q0DNJ3	-3.842497079251	-9.73605	1.66531	light	FAvFT	targetted
Chitinophaga skermanii-A0A327QWS9	-3.84053600224	-11.0746	1.93755	light	FAvFT	targetted
Halothiobacillus neapolitanus (strain ATCC 23641 / c2) (Thiobacillus neapolitanus)-D0KWD7	-3.84053600224	-11.0746	1.93755	light	FAvFT	targetted
Mycolicibacter hiberniae-A0A7I7X5J4	-3.84053600224	-11.0746	1.93755	light	FAvFT	targetted
Lactococcus lactis subsp. lactis A12-S6FTM1	-3.83748107372499	-10.412	1.81657	light	FAvFT	targetted
Bacteroides sp. CAG:770-R6T8B0	-3.8322486526375	-10.1468	1.82934	light	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0H1RKD7	-3.83203534675999	-10.2471	1.37763	light	FAvFT	targetted
Lactococcus lactis subsp. lactis bv. diacetylactis-A0A8B3F4H8	-3.83087690466	-10.4128	1.49943	light	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0B8QRG3	-3.83087690466	-10.4128	1.49943	light	FAvFT	targetted
